Circuit,Player 1,Player 2,Tournament,Surface
ATP,Cazaux A. (Fra),Walton A. (Aus),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,De Minaur A. (Aus),Carballes Baena R. (Esp),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Faria J. (Por),Sonego L. (Ita),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,McCabe J. (Aus),Marozsan F. (Hun),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Michelsen A. (Usa),Kecmanovic M. (Srb),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Monday J. (Gbr),Paul T. (Usa),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Tseng C. H. (Tpe),Vukic A. (Aus),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Basilashvili N. (Geo),Musetti L. (Ita),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,De Jong J. (Ned),Eubanks C. (Usa),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Martinez P. (Esp),Loffhagen G. (Gbr),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Munar J. (Esp),Bublik A. (Kaz),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Navone M. (Arg),Shapovalov D. (Can),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Halys Q. (Fra),Holmgren A. (Den),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Ofner S. (Aut),Medjedovic H. (Srb),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Sinner J. (Ita),Nardi L. (Ita),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Evans D. (Gbr),Clarke J. (Gbr),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Dzumhur D. (Bih),Machac T. (Cze),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Cobolli F. (Ita),Zhukayev B. (Kaz),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Collignon R. (Bel),Cilic M. (Cro),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Comesana F. (Arg),Moutet C. (Fra),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Kovacevic A. (Usa),Fucsovics M. (Hun),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Giron M. (Usa),Ugo Carabelli C. (Arg),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Monfils G. (Fra),Humbert U. (Fra),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Dimitrov G. (Bul),Nishioka Y. (Jpn),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Etcheverry T. M. (Arg),Pinnington Jones J. (Gbr),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Gaston H. (Fra),Mensik J. (Cze),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Hijikata R. (Aus),Goffin D. (Bel),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Nakashima B. (Usa),Bu Y. (Chn),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Shelton B. (Usa),Bolt A. (Aus),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Muller A. (Fra),Djokovic N. (Srb),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Shevchenko A. (Kaz),Opelka R. (Usa),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
ATP,Draper J. (Gbr),Baez S. (Arg),"ATP - SINGLES: Wimbledon (United Kingdom), grass",Grass
WTA,Begu I. (Rou),Juvan K. (Slo),"WTA - SINGLES: Wimbledon (United Kingdom), grass",Grass
